CATEGORY,CALL GROUPS,final_case_type,CASE DESC,occ_date,x_coordinate,y_coordinate,census_tract
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7678569,672353,8400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7680033,680760,9201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7683405,674018,9102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7687909,679590,9701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/3/16,7690720,692690,9501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/4/16,7624094,709457,4200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/4/16,7634927,708514,4001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/4/16,7635170,709095,4001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/4/16,7643917,682523,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/4/16,7647637,688936,2303
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/4/16,7650137,686718,2402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/4/16,7654044,691686,2501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/4/16,7654474,682506,1201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/4/16,7655379,686664,2000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/4/16,7663981,664098,8700
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/4/16,7668959,669697,502
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/4/16,7671274,686309,1702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/4/16,7673343,668971,601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/4/16,7673800,686572,8100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/4/16,7675693,681800,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/4/16,7688948,676362,9701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/5/16,7624582,709530,4200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/5/16,7637885,663266,
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/5/16,7639159,684633,4700
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/5/16,7642421,681647,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/5/16,7643468,679607,5700
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/5/16,7647719,689403,2303
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/5/16,7649338,687266,2303
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/5/16,7661169,667719,401
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/5/16,7668022,674181,702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/5/16,7669106,682360,1701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/5/16,7669593,692133,2902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/5/16,7670989,673803,8301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/5/16,7680623,675159,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/5/16,7685825,683049,9302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/6/16,7632505,666790,6602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/6/16,7634421,664391,6602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/6/16,7643038,698346,3501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/6/16,7644357,684829,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/6/16,7645777,694903,3402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/6/16,7645912,674847,5900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/6/16,7647719,689403,2303
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/6/16,7651561,661049,200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/6/16,7651905,680400,1201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/6/16,7652297,697233,3200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/6/16,7656558,667278,302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/6/16,7669897,687968,2903
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/6/16,7679845,676591,9201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/6/16,7680300,676177,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/6/16,7692633,672030,9804
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/7/16,7639258,686653,4800
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/7/16,7642008,679234,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/7/16,7644284,686073,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/7/16,7644284,686073,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/7/16,7650289,686955,2402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/7/16,7652157,698320,3200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/7/16,7653484,676991,1000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/7/16,7653611,674372,902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/7/16,7668581,663697,8600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/7/16,7669679,675831,8301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/7/16,7677414,682755,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/7/16,7679571,682579,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/7/16,7679877,683208,8100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/7/16,7680128,672650,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/7/16,7680752,682116,9201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/7/16,7691180,679807,9702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7626110,655543,30600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7643325,697803,3501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7644097,685348,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7644364,682826,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7646856,692243,2203
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7648396,682086,1101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7654438,685280,2000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7655171,684660,2000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7658578,677424,1400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7660755,701235,7300
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7661750,697182,7500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7663057,685205,1801
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7666145,663100,8600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7669180,674315,8301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7671753,680633,1602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7676977,696059,7900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7677966,678631,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7690149,684686,
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/8/16,7692119,671613,9102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/9/16,7627109,710045,4102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/9/16,7628972,656246,6404
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/9/16,7640479,681399,5500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/9/16,7640943,706566,3801
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/9/16,7642029,684146,5200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/9/16,7646564,684230,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/9/16,7649642,688785,2402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/9/16,7650020,686701,2402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/9/16,7653176,698527,3602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/9/16,7657583,681022,1301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/9/16,7660082,662082,8800
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/9/16,7665007,695205,2901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/9/16,7670284,668817,601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/9/16,7676200,694587,7900
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/9/16,7682466,686843,9302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/9/16,7688363,678772,9701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7629652,656292,6403
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7643157,685869,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7643526,679584,5700
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7643580,682802,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7643635,679388,5700
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7643677,684309,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7645145,686179,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7649967,679215,1102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7649976,697510,3301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7650223,697422,3301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7654764,708838,7300
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7669281,674551,8301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7669791,676958,1602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7670284,668817,601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7675593,672104,8302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7678524,671970,8400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7679728,676467,8202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7680406,670950,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7685626,676129,9101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/10/16,7690360,687805,
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/11/16,7629147,705757,4002
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/11/16,7630457,660211,6501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/11/16,7630619,711125,4101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/11/16,7631011,708318,4001
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/11/16,7637305,689371,4500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/11/16,7639722,683230,5200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/11/16,7642695,703563,3802
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/11/16,7645266,684907,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/11/16,7657258,679435,1302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/11/16,7661362,673883,802
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/11/16,7669991,694504,2903
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/11/16,7671365,667040,602
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/11/16,7680502,674209,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/11/16,7680597,676774,9201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/11/16,7691639,676486,9702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/12/16,7630697,709022,4102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/12/16,7642994,679531,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/12/16,7643288,686990,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/12/16,7643349,716220,7201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/12/16,7647618,684154,2100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/12/16,7648347,687101,2303
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/12/16,7649020,697952,3301
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/12/16,7650289,686955,2402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/12/16,7654264,685189,2000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/12/16,7657434,672609,902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/12/16,7669263,682824,1701
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/12/16,7671534,686250,1702
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/12/16,7680538,672857,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/12/16,7682937,682200,9201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/12/16,7684361,675353,9101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/12/16,7690149,684686,
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/13/16,7630457,660211,6501
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/13/16,7639668,684668,4800
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/13/16,7640812,683502,5200
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/13/16,7643130,703399,3802
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/13/16,7649491,676185,1000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/13/16,7660384,663806,8800
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/13/16,7669542,693005,2902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/13/16,7675221,671794,8302
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/13/16,7678501,672998,8400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/13/16,7679404,671766,8400
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/13/16,7680650,676058,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/14/16,7643321,682909,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/14/16,7648361,683043,2100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/14/16,7663352,694537,7500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/14/16,7673979,662997,8902
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/14/16,7674110,666737,601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/14/16,7679872,674558,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/14/16,7680263,675585,9000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/14/16,7683307,679050,9201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7636989,692809,4300
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7643321,682909,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7644568,683323,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7644832,683271,10600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7645224,686433,5100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7647375,694343,3402
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7651750,678616,1202
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7651945,681699,1201
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7654729,684364,2000
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7660169,664216,8700
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7662823,696401,7500
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7669647,690191,2903
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7669849,696946,7700
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7673838,668861,601
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7674688,684683,8100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7674909,683582,8100
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/1/16,7692104,672067,9102
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7626022,714596,4101
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7639777,685353,4800
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7640160,707778,3901
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7641911,681877,5600
STREET CRIMES,DISORDER,DISTP ,DISTURBANCE - PRIORITY                            ,11/2/16,7642008,679234,5600
